"","instance_id","link","text","Fail to detect ambiguities/contradictions","Proceed with incorrect assumptions","Fail to elicit clarification","Tendency to overachieve","Underperform by waiting on instructions","Withholding relevant information","Derailing from task objectives","Waiting on agents to discover known insights for increased confidence","Redundant conversation turns for iterative tasks rather than batching","Unaware of stopping conditions","Difficulty in agreeing with agents","No attempt to verify outcome","Evaluator agent fails to be critical","Poor adherence to specified constraints","Misalignment between internal thoughts and response message","Claiming that a task is done while it is not true.","Ignoring good suggestions from other agent","Discontinued reasoning","Trajectory restart","Step repetition","Invented content","Blurring roles"
"0","305925e4-8c67-5460-abdb-b143cf45a9fd","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/305925e4-8c67-5460-abdb-b143cf45a9fd_human.json","The agente invented a missing number. ","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no"
"1","bb32247c-aef8-5366-8d9c-1ac7e032b48f","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/bb32247c-aef8-5366-8d9c-1ac7e032b48f_human.json","The answer was correct. ","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"2","02da9c1f-7c36-5739-b723-33a7d4f8e7e7","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/02da9c1f-7c36-5739-b723-33a7d4f8e7e7_human.json","The solution is correct. The mathproxyagent keeps asking to continue even if it was clear that the problem was unsolvable. ","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no"
"3","c6f0169a-6b0f-5a3f-a3bb-a9435480d9a7","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/c6f0169a-6b0f-5a3f-a3bb-a9435480d9a7_human.json","The answer was correct. ","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"4","a536a498-8195-51c7-8f84-9fd235b62490","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/a536a498-8195-51c7-8f84-9fd235b62490_human.json","The answer was given the the question. The agents solved another problem. ","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no"
"5","2e7a0791-92af-5e3c-b186-145c42105766","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/2e7a0791-92af-5e3c-b186-145c42105766_human.json","Wrong step in the reasoning. No verification. ","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no"
"6","a5714da3-9107-5a28-a6df-bb97dcf4e29a","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/a5714da3-9107-5a28-a6df-bb97dcf4e29a_human.json","Confused the number of fish with the cost of them. ","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no"
"7","ac636464-515f-5ffc-b284-a9f738e74a2c","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/ac636464-515f-5ffc-b284-a9f738e74a2c_human.json","Correct answer. ","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"8","7a11cca5-aa2e-5f44-8ff9-35f3bbd0946e","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/7a11cca5-aa2e-5f44-8ff9-35f3bbd0946e_human.json","mathproxyagent computed the difference with respect to the sum of previous two days. ","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no"
"9","58be8739-d76d-579a-8ceb-ffc2f3064f18","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/58be8739-d76d-579a-8ceb-ffc2f3064f18_human.json","The question was ambigous because it doesn't state that the only remining activity is sightseeing.","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"10","882b00dd-ba1e-553d-b3c7-2760e2ff169c","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/882b00dd-ba1e-553d-b3c7-2760e2ff169c_human.json","The original answer was wrong. Not only it was not specified the time frame but also in how many days should be we compute the difference.The agents just gave one possible interpretation. ","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"11","d442f2ae-2e65-5547-82c5-4a325f8d8710","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/d442f2ae-2e65-5547-82c5-4a325f8d8710_human.json","Iitially answered correcly, then it decides to change idea. ","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no"
"12","957ccc1d-ac66-5a10-9755-aa2a1044d4ab","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/957ccc1d-ac66-5a10-9755-aa2a1044d4ab_human.json","The number of days was wrong. It could compute it in Python. ","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no"
"13","08a6477e-37a2-5633-8a6e-478b568a578e","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/08a6477e-37a2-5633-8a6e-478b568a578e_human.json","The agent invented a data not mentioned in the text. ","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","yes","no"
"14","c8a83329-9e1c-5201-a22a-f831bc45e949","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/c8a83329-9e1c-5201-a22a-f831bc45e949_human.json","Assumption not based on any real data. ","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no"
"15","8ebbc1ed-c0c2-522e-8949-60cb5dd24938","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/8ebbc1ed-c0c2-522e-8949-60cb5dd24938_human.json","There is a contradiction in the text and different solutiona are possible. The agent shoudl ask for clarifications. At the first attempt, it splitted the Python code into two pieces causing execution error. ","yes","no","yes","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no"
"16","14137873-7797-5cdd-ae7f-abb88d8158a3","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/14137873-7797-5cdd-ae7f-abb88d8158a3_human.json","One mistake in the transportation of the passage into arithmetic. ","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no"
"17","d8c37fac-fcc1-5fdd-9dc4-4daf33a02f73","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/d8c37fac-fcc1-5fdd-9dc4-4daf33a02f73_human.json","The answer was correct. ","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"18","879c8582-0405-55b7-bdaa-94202ce844ac","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/879c8582-0405-55b7-bdaa-94202ce844ac_human.json","Wrong mathematical operation and used // instead of / in the Python code.","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no"
"19","674c4a6f-7e3f-5f2f-9f88-4b3a7674a2f5","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/674c4a6f-7e3f-5f2f-9f88-4b3a7674a2f5_human.json","The answer was correct but it put the conclusion inside the box and not the number. ","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"20","a49f0912-ada2-5052-91f9-94f615ec9597","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/a49f0912-ada2-5052-91f9-94f615ec9597_human.json","The answwr given is correct. ","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"21","70d75156-c32c-5068-b64d-bd587fa0a4a5","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/70d75156-c32c-5068-b64d-bd587fa0a4a5_human.json","One data was mising in the original text. Th agent invented a number. ","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no"
"22","2a8fa54b-df25-5d6f-a7a0-e40885768b1b","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/2a8fa54b-df25-5d6f-a7a0-e40885768b1b_human.json","Didn't verify the answer. Counted one number more even if they were listed. ","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no"
"23","cd2629df-fb3c-5937-96ad-40aa20d8f149","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/cd2629df-fb3c-5937-96ad-40aa20d8f149_human.json","The agent supposed that the interest was only on the las month while in the text it was specified 'additional 2% of the money he owed'. ","yes","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no"
"24","3fecef98-fc49-5912-8be2-fa8c02e949a2","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/3fecef98-fc49-5912-8be2-fa8c02e949a2_human.json","assistant forgot that there are two pieces. ","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no"
"25","094b6ef4-9501-550d-b9f8-4d5330d07e34","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/094b6ef4-9501-550d-b9f8-4d5330d07e34_human.json","Inchies / feet conversion. ","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no"
"26","65b61e80-7336-5503-84bd-8c4a500b011e","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/65b61e80-7336-5503-84bd-8c4a500b011e_human.json","Text understanding problem. ","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"27","0ff37ee5-529e-5503-bf41-d1e9c78f578e","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/0ff37ee5-529e-5503-bf41-d1e9c78f578e_human.json","The correctness of the answer could be verified directly from the text but they didn't. The assistant agent set up the wrong equation. mathproxyagent didn't say anything about it. ","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no"
"28","6891537b-54d7-5f49-b9e4-790b5e6a5de6","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/6891537b-54d7-5f49-b9e4-790b5e6a5de6_human.json","The agent forgot that 10 cards were refused. ","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no"
"29","81dedb5e-c591-5b17-afc4-f242a2751574","https://github.com/LakshyAAAgrawal/MultiAgentFailureTaxonomyAnnotations/blob/main/AG2/81dedb5e-c591-5b17-afc4-f242a2751574_human.json","The initial length was missing but the gent proceed supposing 1. ","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no"
